time(days)	tcent(min)	error(min)
2146.7593	-4.95130384	4.750108232
2147.5476	-6.38956383	6.150294572
2148.3397	8.405204114	6.867701247
2149.1289	-4.077136077	5.81214702
2149.9179	3.16661193	4.641069795
2150.7076	2.660493725	4.817364984
2151.4970	2.575126143	7.253039813
2152.2861	2.570496712	6.845903962
2153.0778	0.755612102	4.952140435
2153.8677	-2.848498142	4.50638675
2154.6568	-4.786262193	6.594826364
2155.4462	3.403204607	5.945335657
2156.2359	0.631498544	4.724511459
2157.0255	-2.547629183	6.483514302
2157.8163	3.537478098	4.670676387
2158.6044	-4.452612706	5.815960728
2159.3941	0.210261443	6.192764839
2160.1840	-3.646843047	6.076071175
2160.9743	-6.413876403	5.486788304
2161.7626	-5.350445913	6.420550372
2162.5447	6.184885504	5.29677597
2163.3438	1.253500495	5.682187897
2164.1324	-3.025941388	4.930004998
2164.9225	-2.056258164	4.648085962
2165.7129	-0.734158882	6.755322152
2166.4866	3.687136002	7.166303656
2167.2918	2.735983959	7.149003196
2168.0800	2.387065926	4.539563189
2168.8688	-4.218688505	5.372938151
2169.6631	2.748618577	5.846546707
2170.4500	5.236010261	5.775452043
2171.2383	-1.17123404	5.582152413
2172.0271	-2.115579483	6.948368146
2172.8199	-2.625473896	6.694047268
2173.6092	-2.502568755	6.471510361
2174.3982	-4.044736235	5.33565108
2175.1896	3.190827457	7.116979882
2175.9780	5.26093192	4.58485542
2176.7676	-5.121764681	6.07870045
2177.5601	0.15406676	4.544140033
2178.3482	-3.540710746	7.218235252
2179.1341	-8.448040823	6.712135076
2179.9291	1.503537106	5.927885882
2180.7192	2.754732222	6.074833818
2181.5074	-3.306799625	4.532130451
2182.2992	8.587803008	4.483248316
2183.0868	0.520518721	5.435761583
2183.8758	-1.257592055	5.77501812
2184.6670	-1.810270526	4.444060472
2185.4538	-10.35517814	4.501971575
2186.2446	-1.648137211	5.874525017
2187.0328	-3.969571347	6.884837037
2187.8261	-0.810109726	5.352671664
2188.6117	-1.301831575	4.527130046
2189.4044	0.457643551	4.919214553
2190.1917	0.090776995	7.113616129
2190.9827	-1.126359622	5.751913886
2191.7755	3.134420042	6.968968366
2192.5639	-6.182490231	4.381685985
2193.3494	-2.095688617	5.744976389
2194.1425	2.0002664	4.704570601
2194.9298	-7.517779627	6.117033726
2195.7196	-0.178710584	7.247743365
2196.4986	14.38333682	5.765465801
2197.3002	1.949136856	5.604449336
2198.0907	2.442238063	4.995688604
2198.8796	1.828532526	6.955521218
2199.6681	-0.855013447	7.055742536
2200.4581	0.057313807	6.110723436
2201.2483	-3.472902904	6.357430607
2202.0378	-8.970296313	6.311228074
2202.8312	-0.195062452	6.611023508
2203.6178	-2.70258017	6.843674869
2204.4095	3.826283428	4.346329299
2205.1989	-0.910719409	4.650105182
2205.9890	5.354043407	5.059511783
2206.7767	1.09487639	6.908994456
2207.5680	5.321510426	5.729135723
2208.3541	-0.321655511	6.127455634
2209.1473	1.554852896	4.838255669
2209.9355	5.475504989	5.857159976
2210.7253	-0.936113404	4.628227115
2211.5166	-5.656242733	6.806296671
2212.3025	2.520519521	5.00230817
2213.0941	2.544404231	5.903465176
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
